DROGA;CATEGORIA;ESPECIE;FAMILIA;P.A.;EMPLEOS
Hojas de Gayuba;FENOLES SIMPLES;Arctostaphylus uva-ursi L.;Ericaceas;Arbutosido,Metil-arbutosido,Arbutina<->Hidroquinona;Desinfectante vias urinarias,Despigmentante
Corteza de Sauce;ACIDOS FENOLES;Salix alba;Salicaceas;Salicortina->Salicosido->Acido Salicilico;Analgesico,Antipiretico,Antiinflamatorio
Hoja de Alcachofa;ACIDOS FENOLES;Cynara scolymus;Asteraceas;CINARINA,Acido cafeico,Acido clorogenico;Coleretico,Hepatoprotector
Sumidad del Romero;ACIDOS FENOLES;Rasmarinus officinalis;Limiaceas;ACIDO ROSMARICO,Acido cafeico,Acido clorogenico;ANTIOXIDANTE,Catarros,Enjuagues bucales,Digestivo,Dolor articular
Rizoma y raiz de Equinacea;ACIDOS FENOLES;Echinacea sp.;Asteraceas;EQUINACOSIDO,Acido clorogenico,Cinarina,Acido achicosido;INMUNOESTIMLANTES,Estados gripales,Cicatrizantes
Balsamo de Peru;ACIDOS FENOLES;Myroxylon balsamum;Fabaceas;CINAMEINA 50-60% (mezcla de esteres);Perfumeria
Balsamo de Rolu;ACIDOS FENOLES;Myroxylon toniferum;Fabaceas;Acido benzoico,Acido cinamico,ESTERES DE BENZOATOS Y CINAMATOS,Sesquiterpenos y derivados fenolicos;Perfumeria
Semillas y cortezas de Castano de Indias;CUMARINAS;Aesculus hippocastanum;Hippocastanacea;SEMILLA: Compuestos terpenticos 10%: ESCEINA/Aescina,Derivados fenolicos: Kanferol y queroetina,CORTEZA: Compuestos fenolicos: Taninos,CUMARINAS 2-3% (fraxosido y ESCULOSIDO);CORTEZA,Venotonica,SEMILLA,Antiinflamatorio,Antiedematoso
Sumidad florida de Meliloto;CUMARINAS;Melilotus officinalis;Leguminosas;FLAVONOIDES,Saponosidos con genina triterpenica,Metilosido->Cumarina->DICUMAROL;Antiedematoso,Incremento flujo venoso-linfatico,Permeabilidad capilar
Fruto de Ammi visnaga;CUMARINAS;Ammi Visnaga;Umbilifera;Furanocromonas 2-4%: Kelina y Visnagina,PiranoCUMARINAS: Visnadina;DROGA COMPLETA,Espasmolitico sobre musc. liso.,FURANOCROMONAS,Espasmolitico fototoxicos,PIRANOCUMARINAS,Vaso dilatador coronario, Indicaciones: Colicos biliares / Tos espasmodica y asma / Angina de pecho
Rizoma de Podofilo;LIGNANOS;Podofillum peltatum;Berbaridacea;RESINA 3-6%: Podofilotoxina (20%),alpha y beta peltatina (5-10%),Desexipodofilotoxina;Actividad antitumoral in vivo e in vitro,Tratamiento condiloma externo
Fruto de Cardo Mariano;LIGNANOS;Sylibun marianum;Ateraceas;FLAVALIGNANO 1.5-3% - Mezcla de compuestos (SILIMARINA);Protector hepatico
